City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
80,Saldanha,15,ZA,1612652311,82,-33.0117,17.9442,66.2,8.05
81,Anadyr,0,RU,1612652311,77,64.75,177.4833,-5.01,5.7
82,Barrow,75,US,1612652312,77,71.2906,-156.7887,-5.8,10.36
83,Hobyo,1,SO,1612652312,80,5.3505,48.5268,76.68,15.23
84,Kaitangata,2,NZ,1612652312,74,-46.2817,169.8464,64.99,4.0
85,San Quintín,0,MX,1612652132,59,30.4833,-115.95,64.8,12.37
86,Bengkulu,100,ID,1612652313,73,-3.8004,102.2655,76.35,4.94
87,Genhe,0,CN,1612652313,84,50.7833,121.5167,-21.95,1.52
88,Amudat,39,UG,1612652313,54,1.95,34.95,69.01,4.14
89,Leningradskiy,0,RU,1612652313,74,69.3833,178.4167,-10.84,6.38
90,Rundu,99,NA,1612652314,88,-17.9333,19.7667,69.91,2.86
91,Tezu,60,IN,1612652314,34,27.9167,96.1667,58.46,3.8
92,Traverse City,90,US,1612652314,67,44.7631,-85.6206,15.8,10.36
93,Sechura,35,PE,1612652315,59,-5.5569,-80.8222,80.24,17.47
94,Port Keats,96,AU,1612652113,77,-14.25,129.55,83.23,10.69
95,Grand Gaube,10,MU,1612652108,85,-20.0064,57.6608,77.0,1.99
96,Faanui,2,PF,1612652315,67,-16.4833,-151.75,82.24,10.04
97,Hilo,1,US,1612652167,44,19.7297,-155.09,80.6,6.91
98,Broome,1,US,1612652316,31,42.2506,-75.833,28.4,11.5
99,Saint Paul Harbor,20,US,1612652313,60,57.79,-152.4072,37.4,3.44
100,São João da Barra,100,BR,1612652062,95,-21.6403,-41.0511,72.23,13.15
101,Ribeira Grande,97,PT,1612652316,85,38.5167,-28.7,61.07,21.97
102,Talnakh,0,RU,1612652316,73,69.4865,88.3972,-29.15,2.46
103,Karla,0,EE,1612652317,92,59.3723,24.9275,8.6,5.75
104,Kahului,20,US,1612652317,53,20.8947,-156.47,75.2,11.5
105,Acaraú,25,BR,1612652317,81,-2.8856,-40.12,79.36,13.06
106,Kota Kinabalu,20,MY,1612652317,88,5.9749,116.0724,75.2,6.91
107,Souillac,40,MU,1612652318,78,-20.5167,57.5167,78.8,4.61
108,Preobrazheniye,14,RU,1612652318,86,42.9019,133.9064,13.78,9.22
109,Korla,0,CN,1612652318,86,41.7597,86.1469,25.59,2.62
110,Biltine,6,TD,1612652318,26,14.5333,20.9167,63.48,14.56
111,Kampot,40,KH,1612652319,94,10.6167,104.1833,75.2,5.75
112,Isangel,20,VU,1612652319,74,-19.55,169.2667,84.2,5.75
113,Arraial do Cabo,100,BR,1612652319,83,-22.9661,-42.0278,75.63,5.86
114,Mossamedes,21,AO,1612652319,78,-15.1961,12.1522,71.15,7.83
115,Vaitape,2,PF,1612652319,67,-16.5167,-151.75,82.24,10.11
116,Nanortalik,25,GL,1612652320,83,60.1432,-45.2371,23.43,6.87
117,Grindavik,0,IS,1612652109,69,63.8424,-22.4338,33.8,18.41
118,Luganville,2,VU,1612652320,63,-15.5333,167.1667,85.24,4.85
119,Acapulco de Juárez,1,MX,1612652320,62,16.8634,-99.8901,86.0,11.5
120,Hasaki,0,JP,1612652321,70,35.7333,140.8333,39.2,3.44
121,Moussoro,58,TD,1612652321,24,13.6408,16.4901,65.97,11.61
122,Poso,100,ID,1612652275,75,-1.3959,120.7524,81.0,3.33
123,Laas,75,IT,1612652321,100,46.6166,10.7002,39.99,12.66
124,East London,6,ZA,1612652127,88,-33.0153,27.9116,74.59,7.27
125,Tahoua,61,NE,1612652322,19,14.8888,5.2692,71.28,11.72
126,Salalah,75,OM,1612652322,73,17.0151,54.0924,73.4,8.05
127,Ambon City,20,ID,1612652322,88,-3.6954,128.1814,77.0,6.91
128,Jinchang,0,CN,1612652322,70,38.4953,102.1739,26.65,1.92
129,Mayumba,100,GA,1612652168,81,-3.432,10.6554,79.75,1.9
130,Nicoya,40,CR,1612652323,48,10.1483,-85.452,89.6,9.22
131,Caravelas,100,BR,1612652199,88,-17.7125,-39.2481,77.5,9.15
132,Coahuayana Viejo,1,MX,1612652152,57,18.7333,-103.6833,80.6,5.28
133,Severnyy,40,RU,1612652323,78,50.677,36.5532,6.8,13.42
134,Xinyang,2,CN,1612652324,63,32.1228,114.0656,47.86,2.57
135,Coyhaique,20,CL,1612652324,22,-45.5752,-72.0662,78.8,8.05
136,Mehamn,100,NO,1612652324,93,71.0357,27.8492,25.95,20.45
137,Ancud,0,CL,1612652324,46,-41.8697,-73.8203,73.4,8.05
138,Östersund,58,SE,1612652324,92,63.1792,14.6357,10.4,4.61
139,Atuona,89,PF,1612652325,77,-9.8,-139.0333,80.28,21.81
140,Pangai,100,TO,1612652325,89,-19.8,-174.35,79.09,18.72
141,Perth,75,AU,1612652325,88,-31.9333,115.8333,64.0,25.32
142,Kortkeros,75,RU,1612652325,71,61.8106,51.5806,-2.2,13.42
143,Nambucca Heads,75,AU,1612652326,78,-30.65,153.0,82.0,9.22
144,Tecpan,0,GT,1612652326,50,14.7623,-90.9947,75.2,16.11
